unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr,womengradrate4yr,gradrate4yr,mengradrate4yr
174844,2007,751,406,345,624,287,337,83,0.83,0.831,0.832
174899,2007,487,336,151,288,76,212,63.1,0.631,0.591,0.503
174914,2007,1313,672,641,822,365,457,68.01,0.68,0.626,0.569
175342,2007,514,305,209,94,27,67,21.97,0.22,0.183,0.129
175421,2007,241,134,107,60,15,45,33.58,0.336,0.249,0.14
175616,2007,477,293,184,78,27,51,17.41,0.174,0.164,0.147
175856,2007,919,541,378,153,41,112,20.7,0.207,0.166,0.108
175980,2007,296,154,142,175,75,100,64.94,0.649,0.591,0.528
176017,2007,2434,1293,1141,885,328,557,43.08,0.431,0.364,0.287
176035,2007,235,213,22,46,6,40,18.78,0.188,0.196,0.273
176044,2007,485,256,229,51,15,36,14.06,0.141,0.105,0.066
176080,2007,2262,1105,1157,699,274,425,38.46,0.385,0.309,0.237
176406,2007,200,135,65,53,9,44,32.59,0.326,0.265,0.138
176628,2007,114,79,35,30,5,25,31.65,0.316,0.263,0.143
176947,2007,270,123,147,69,31,38,30.89,0.309,0.256,0.211
176965,2007,1426,786,640,428,148,280,35.62,0.356,0.3,0.231
177418,2007,193,110,83,5,1,4,3.64,0.036,0.026,0.012
178059,2007,294,211,83,149,43,106,50.24,0.502,0.507,0.518
178341,2007,766,416,350,110,29,81,19.47,0.195,0.144,0.083
178387,2007,935,538,397,126,36,90,16.73,0.167,0.135,0.091
178396,2007,4897,2672,2225,2305,829,1476,55.24,0.552,0.471,0.373
178402,2007,916,568,348,188,59,129,22.71,0.227,0.205,0.17
178411,2007,1018,208,810,257,180,77,37.02,0.37,0.252,0.222
178420,2007,462,280,182,94,25,69,24.64,0.246,0.203,0.137
178615,2007,1402,814,588,754,248,506,62.16,0.622,0.538,0.422
179043,2007,367,230,137,222,81,141,61.3,0.613,0.605,0.591
179159,2007,1629,933,696,988,380,608,65.17,0.652,0.607,0.546
179557,2007,1650,946,704,438,158,280,29.6,0.296,0.265,0.224
179566,2007,2610,1514,1096,796,263,533,35.2,0.352,0.305,0.24
179867,2007,1325,645,680,1169,593,576,89.3,0.893,0.882,0.872
179894,2007,483,278,205,224,80,144,51.8,0.518,0.464,0.39
179946,2007,223,95,128,115,57,58,61.05,0.61,0.516,0.445
180179,2007,724,393,331,60,16,44,11.2,0.112,0.083,0.048
180461,2007,1852,791,1061,371,162,209,26.42,0.264,0.2,0.153
180522,2007,186,69,117,19,12,7,10.14,0.101,0.102,0.103
180984,2007,264,141,123,111,41,70,49.65,0.496,0.42,0.333
181002,2007,947,577,370,638,254,384,66.55,0.665,0.674,0.686
181020,2007,259,115,144,132,65,67,58.26,0.583,0.51,0.451
181127,2007,302,117,185,131,70,61,52.14,0.521,0.434,0.378
181215,2007,915,484,431,193,74,119,24.59,0.246,0.211,0.172
181394,2007,1596,834,762,228,106,122,14.63,0.146,0.143,0.139
181446,2007,438,272,166,239,74,165,60.66,0.607,0.546,0.446
181464,2007,4214,2061,2153,1363,555,808,39.2,0.392,0.323,0.258
181534,2007,197,89,108,38,13,25,28.09,0.281,0.193,0.12
181783,2007,654,364,290,162,48,114,31.32,0.313,0.248,0.166
182281,2007,2780,1596,1184,406,117,289,18.11,0.181,0.146,0.099
182290,2007,2226,1166,1060,349,131,218,18.7,0.187,0.157,0.124
