unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr,womengradrate4yr,gradrate4yr,mengradrate4yr
181020,1991,230,116,114,117,42,75,64.66,0.647,0.509,0.368
181127,1991,255,111,144,102,55,47,42.34,0.423,0.4,0.382
181215,1991,1230,665,565,141,54,87,13.08,0.131,0.115,0.096
181394,1991,1275,635,640,70,31,39,6.14,0.061,0.055,0.048
181446,1991,343,192,151,170,72,98,51.04,0.51,0.496,0.477
181464,1991,3386,1641,1745,379,121,258,15.72,0.157,0.112,0.069
181534,1991,235,129,106,24,7,17,13.18,0.132,0.102,0.066
181783,1991,681,357,324,103,38,65,18.21,0.182,0.151,0.117
182281,1991,1172,604,568,125,47,78,12.91,0.129,0.107,0.083
182290,1991,966,482,484,101,43,58,12.03,0.12,0.105,0.089
182634,1991,215,137,78,99,29,70,51.09,0.511,0.46,0.372
182795,1991,429,192,237,124,57,67,34.9,0.349,0.289,0.241
183062,1991,731,444,287,159,41,118,26.58,0.266,0.218,0.143
183080,1991,729,377,352,219,83,136,36.07,0.361,0.3,0.236
183239,1991,545,303,242,365,155,210,69.31,0.693,0.67,0.64
183822,1991,267,179,88,18,6,12,6.7,0.067,0.067,0.068
183974,1991,89,66,23,22,3,19,28.79,0.288,0.247,0.13
184348,1991,269,166,103,188,70,118,71.08,0.711,0.699,0.68
184603,1991,908,436,472,78,32,46,10.55,0.106,0.086,0.068
184612,1991,93,79,14,9,3,6,7.59,0.076,0.097,0.214
184782,1991,892,511,381,212,77,135,26.42,0.264,0.238,0.202
185129,1991,618,322,296,34,17,17,5.28,0.053,0.055,0.057
185572,1991,387,216,171,74,23,51,23.61,0.236,0.191,0.135
185590,1991,913,564,349,101,31,70,12.41,0.124,0.111,0.089
185828,1991,541,96,445,30,18,12,12.5,0.125,0.055,0.04
186131,1991,1122,474,648,1002,582,420,88.61,0.886,0.893,0.898
186201,1991,423,205,218,55,17,38,18.54,0.185,0.13,0.078
186283,1991,653,351,302,259,98,161,45.87,0.459,0.397,0.325
186584,1991,984,474,510,429,184,245,51.69,0.517,0.436,0.361
186876,1991,683,364,319,194,64,130,35.71,0.357,0.284,0.201
187134,1991,860,560,300,445,108,337,60.18,0.602,0.517,0.36
187444,1991,967,551,416,100,19,81,14.7,0.147,0.103,0.046
187985,1991,1716,915,801,147,61,86,9.4,0.094,0.086,0.076
188030,1991,1656,846,810,127,45,82,9.69,0.097,0.077,0.056
188429,1991,658,417,241,259,74,185,44.36,0.444,0.394,0.307
188641,1991,256,110,146,132,67,65,59.09,0.591,0.516,0.459
190044,1991,634,134,500,338,266,72,53.73,0.537,0.533,0.532
190099,1991,694,330,364,554,265,289,87.58,0.876,0.798,0.728
190150,1991,1085,464,621,851,481,370,79.74,0.797,0.784,0.775
190248,1991,85,43,42,29,10,19,44.19,0.442,0.341,0.238
190415,1991,2949,1345,1604,2336,1218,1118,83.12,0.831,0.792,0.759
190512,1991,1170,746,424,56,19,37,4.96,0.05,0.048,0.045
190549,1991,1475,843,632,135,42,93,11.03,0.11,0.092,0.066
190558,1991,1153,599,554,16,4,12,2,0.02,0.014,0.007
190567,1991,1126,505,621,19,11,8,1.58,0.016,0.017,0.018
190594,1991,808,617,191,30,3,27,4.38,0.044,0.037,0.016
190637,1991,711,470,241,15,8,7,1.49,0.015,0.021,0.033
190664,1991,1603,889,714,165,49,116,13.05,0.13,0.103,0.069
190691,1991,431,276,155,22,10,12,4.35,0.044,0.051,0.065
190725,1991,244,164,80,40,14,26,15.85,0.158,0.164,0.175
191241,1991,952,507,445,641,292,349,68.84,0.688,0.673,0.656
191515,1991,462,207,255,384,204,180,86.96,0.87,0.831,0.8
191533,1991,370,217,153,201,74,127,58.53,0.585,0.543,0.484
191630,1991,503,211,292,334,174,160,75.83,0.758,0.664,0.596
191649,1991,1338,747,591,567,190,377,50.47,0.505,0.424,0.321
191676,1991,244,152,92,119,46,73,48.03,0.48,0.488,0.5
191931,1991,1046,526,520,290,122,168,31.94,0.319,0.277,0.235
191968,1991,1638,831,807,1036,477,559,67.27,0.673,0.632,0.591
192192,1991,139,112,27,65,15,50,44.64,0.446,0.468,0.556
192323,1991,404,212,192,261,118,143,67.45,0.674,0.646,0.615
192439,1991,665,436,229,30,12,18,4.13,0.041,0.045,0.052
192703,1991,548,258,290,298,137,161,62.4,0.624,0.544,0.472
192749,1991,192,143,49,96,22,74,51.75,0.517,0.5,0.449
192819,1991,881,489,392,441,166,275,56.24,0.562,0.501,0.423
192925,1991,143,79,64,23,6,17,21.52,0.215,0.161,0.094
193016,1991,619,329,290,19,5,14,4.26,0.043,0.031,0.017
193292,1991,123,100,23,55,6,49,49,0.49,0.447,0.261
193353,1991,248,188,60,96,16,80,42.55,0.426,0.387,0.267
193399,1991,188,147,41,91,20,71,48.3,0.483,0.484,0.488
193584,1991,246,177,69,124,27,97,54.8,0.548,0.504,0.391
193645,1991,645,563,82,93,2,91,16.16,0.162,0.144,0.024
193654,1991,265,182,83,81,25,56,30.77,0.308,0.306,0.301
193900,1991,2338,1279,1059,1173,508,665,51.99,0.52,0.502,0.48
193973,1991,447,272,175,176,53,123,45.22,0.452,0.394,0.303
194161,1991,108,77,31,26,4,22,28.57,0.286,0.241,0.129
194310,1991,510,290,220,178,56,122,42.07,0.421,0.349,0.255
194824,1991,971,193,778,428,334,94,48.7,0.487,0.441,0.429
195003,1991,1265,370,895,287,162,125,33.78,0.338,0.227,0.181
195030,1991,1215,537,678,805,440,365,67.97,0.68,0.663,0.649
195164,1991,479,236,243,267,117,150,63.56,0.636,0.557,0.481
195173,1991,353,207,146,68,26,42,20.29,0.203,0.193,0.178
195216,1991,421,213,208,322,142,180,84.51,0.845,0.765,0.683
195234,1991,207,152,55,106,24,82,53.95,0.54,0.512,0.436
195243,1991,198,113,85,95,28,67,59.29,0.593,0.48,0.329
195304,1991,228,168,60,125,34,91,54.17,0.542,0.548,0.567
195474,1991,584,307,277,455,220,235,76.55,0.765,0.779,0.794
195526,1991,652,392,260,401,139,262,66.84,0.668,0.615,0.535
195544,1991,65,47,18,41,9,32,68.09,0.681,0.631,0.5
195809,1991,2483,1282,1201,612,253,359,28,0.28,0.246,0.211
196413,1991,2513,1294,1219,1388,596,792,61.21,0.612,0.552,0.489
196592,1991,503,330,173,37,15,22,6.67,0.067,0.074,0.087
197045,1991,328,169,159,96,42,54,31.95,0.32,0.293,0.264
197133,1991,592,364,228,460,167,293,80.49,0.805,0.777,0.732
197869,1991,1916,1025,891,562,185,377,36.78,0.368,0.293,0.208
197984,1991,174,92,82,56,21,35,38.04,0.38,0.322,0.256
198385,1991,397,179,218,339,178,161,89.94,0.899,0.854,0.817
198464,1991,2338,1288,1050,386,124,262,20.34,0.203,0.165,0.118
198507,1991,402,217,185,135,48,87,40.09,0.401,0.336,0.259
198516,1991,780,461,319,381,121,260,56.4,0.564,0.488,0.379
198835,1991,279,153,126,113,33,80,52.29,0.523,0.405,0.262
198969,1991,254,86,168,59,35,24,27.91,0.279,0.232,0.208
199102,1991,1469,803,666,275,63,212,26.4,0.264,0.187,0.095
199111,1991,336,199,137,77,18,59,29.65,0.296,0.229,0.131
199120,1991,3133,1941,1192,1966,672,1294,66.67,0.667,0.628,0.564
199139,1991,1552,876,676,347,86,261,29.79,0.298,0.224,0.127
199148,1991,1345,890,455,358,82,276,31.01,0.31,0.266,0.18
199157,1991,531,336,195,93,21,72,21.43,0.214,0.175,0.108
199193,1991,3296,1290,2006,773,370,403,31.24,0.312,0.235,0.184
199218,1991,1545,923,622,385,111,274,29.69,0.297,0.249,0.178
199281,1991,379,195,184,58,21,37,18.97,0.19,0.153,0.114
199306,1991,166,82,84,45,17,28,34.15,0.341,0.271,0.202
199412,1991,144,102,42,47,9,38,37.25,0.372,0.326,0.214
199582,1991,418,237,181,44,10,34,14.35,0.144,0.105,0.055
199643,1991,579,330,249,190,82,108,32.73,0.327,0.328,0.329
199847,1991,857,425,432,659,299,360,84.71,0.847,0.769,0.692
199962,1991,371,181,190,93,28,65,35.91,0.359,0.251,0.147
199999,1991,431,287,144,59,7,52,18.12,0.181,0.137,0.049
200004,1991,1011,522,489,210,84,126,24.14,0.241,0.208,0.172
200059,1991,315,165,150,30,12,18,10.91,0.109,0.095,0.08
200156,1991,288,134,154,68,21,47,35.07,0.351,0.236,0.136
200217,1991,317,179,138,96,33,63,35.2,0.352,0.303,0.239
200226,1991,162,83,79,21,3,18,21.69,0.217,0.13,0.038
200253,1991,546,363,183,52,14,38,10.47,0.105,0.095,0.077
200280,1991,1288,588,700,161,78,83,14.12,0.141,0.125,0.111
200332,1991,1192,491,701,134,58,76,15.48,0.155,0.112,0.083
200572,1991,186,100,86,21,2,19,19,0.19,0.113,0.023
201104,1991,542,238,304,145,52,93,39.08,0.391,0.268,0.171
201371,1991,193,93,100,85,30,55,59.14,0.591,0.44,0.3
201548,1991,370,218,152,232,87,145,66.51,0.665,0.627,0.572
201645,1991,647,245,402,327,173,154,62.86,0.629,0.505,0.43
201690,1991,661,327,334,92,34,58,17.74,0.177,0.139,0.102
202134,1991,959,435,524,70,34,36,8.28,0.083,0.073,0.065
202480,1991,1499,744,755,758,322,436,58.6,0.586,0.506,0.426
202523,1991,501,271,230,351,150,201,74.17,0.742,0.701,0.652
202763,1991,342,152,190,95,46,49,32.24,0.322,0.278,0.242
203085,1991,252,100,152,100,56,44,44,0.44,0.397,0.368
203128,1991,287,148,139,159,69,90,60.81,0.608,0.554,0.496
203368,1991,765,386,379,465,212,253,65.54,0.655,0.608,0.559
203517,1991,2692,1609,1083,579,168,411,25.54,0.255,0.215,0.155
203535,1991,420,218,202,347,167,180,82.57,0.826,0.826,0.827
203580,1991,61,49,12,18,3,15,30.61,0.306,0.295,0.25
203775,1991,312,206,106,89,21,68,33.01,0.33,0.285,0.198
203845,1991,215,108,107,102,41,61,56.48,0.565,0.474,0.383
204024,1991,3241,1858,1383,2040,736,1304,70.18,0.702,0.629,0.532
204185,1991,417,194,223,189,80,109,56.19,0.562,0.453,0.359
204194,1991,231,145,86,82,31,51,35.17,0.352,0.355,0.36
204617,1991,205,108,97,54,24,30,27.78,0.278,0.263,0.247
204796,1991,5502,2705,2797,1061,375,686,25.36,0.254,0.193,0.134
204857,1991,3187,1819,1368,1308,448,860,47.28,0.473,0.41,0.327
206330,1991,188,66,122,16,9,7,10.61,0.106,0.085,0.074
206589,1991,466,219,247,290,135,155,70.78,0.708,0.622,0.547
206604,1991,2111,1061,1050,199,66,133,12.54,0.125,0.094,0.063
206622,1991,719,380,339,383,193,190,50,0.5,0.533,0.569
206695,1991,1904,981,923,88,31,57,5.81,0.058,0.046,0.034
206914,1991,466,220,246,23,9,14,6.36,0.064,0.049,0.037
207209,1991,525,295,230,19,2,17,5.76,0.058,0.036,0.009
207306,1991,356,176,180,43,18,25,14.2,0.142,0.121,0.1
207324,1991,304,160,144,76,37,39,24.38,0.244,0.25,0.257
207388,1991,2092,1038,1054,399,144,255,24.57,0.246,0.191,0.137
207500,1991,2249,1082,1167,277,101,176,16.27,0.163,0.123,0.087
207722,1991,203,143,60,16,2,14,9.79,0.098,0.079,0.033
207847,1991,537,291,246,55,21,34,11.68,0.117,0.102,0.085
207865,1991,867,502,365,70,24,46,9.16,0.092,0.081,0.066
208822,1991,258,154,104,91,33,58,37.66,0.377,0.353,0.317
209056,1991,357,213,144,191,72,119,55.87,0.559,0.535,0.5
209065,1991,429,242,187,234,89,145,59.92,0.599,0.545,0.476
209542,1991,1543,696,847,403,184,219,31.47,0.315,0.261,0.217
209551,1991,1919,1068,851,683,238,445,41.67,0.417,0.356,0.28
209612,1991,261,154,107,93,38,55,35.71,0.357,0.356,0.355
209807,1991,670,330,340,86,34,52,15.76,0.158,0.128,0.1
209922,1991,292,146,146,139,71,68,46.58,0.466,0.476,0.486
210146,1991,553,303,250,66,26,40,13.2,0.132,0.119,0.104
210401,1991,390,221,169,253,99,154,69.68,0.697,0.649,0.586
210429,1991,576,367,209,98,22,76,20.71,0.207,0.17,0.105
210571,1991,236,120,116,143,58,85,70.83,0.708,0.606,0.5
210669,1991,606,289,317,354,173,181,62.63,0.626,0.584,0.546
210775,1991,194,128,66,56,16,40,31.25,0.312,0.289,0.242
211088,1991,140,110,30,92,13,79,71.82,0.718,0.657,0.433
211158,1991,1080,664,416,443,132,311,46.84,0.468,0.41,0.317
211291,1991,907,410,497,776,408,368,89.76,0.898,0.856,0.821
211352,1991,137,93,44,73,19,54,58.06,0.581,0.533,0.432
211361,1991,1107,565,542,141,48,93,16.46,0.165,0.127,0.089
211431,1991,144,138,6,59,2,57,41.3,0.413,0.41,0.333
211440,1991,1170,335,835,657,464,193,57.61,0.576,0.562,0.556
211468,1991,120,120,0,62,0,62,51.67,0.517,0.517,NA
211556,1991,100,100,0,52,0,52,52,0.52,0.52,NA
211583,1991,111,111,0,54,0,54,48.65,0.486,0.486,NA
211608,1991,324,139,185,33,14,19,13.67,0.137,0.102,0.076
211644,1991,973,584,389,232,64,168,28.77,0.288,0.238,0.165
211981,1991,332,140,192,98,43,55,39.29,0.393,0.295,0.224
212009,1991,557,317,240,433,184,249,78.55,0.785,0.777,0.767
212054,1991,1207,364,843,115,31,84,23.08,0.231,0.095,0.037
212106,1991,870,475,395,381,166,215,45.26,0.453,0.438,0.42
212115,1991,699,382,317,129,31,98,25.65,0.256,0.185,0.098
212133,1991,134,87,47,55,16,39,44.83,0.448,0.41,0.34
212160,1991,1456,853,603,243,65,178,20.87,0.209,0.167,0.108
212197,1991,455,309,146,265,78,187,60.52,0.605,0.582,0.534
212577,1991,504,228,276,355,173,182,79.82,0.798,0.704,0.627
212601,1991,465,264,201,186,79,107,40.53,0.405,0.4,0.393
212832,1991,89,79,10,25,1,24,30.38,0.304,0.281,0.1
212911,1991,295,147,148,256,124,132,89.8,0.898,0.868,0.838
213020,1991,2516,1452,1064,604,180,424,29.2,0.292,0.24,0.169
213251,1991,261,129,132,164,78,86,66.67,0.667,0.628,0.591
213321,1991,359,164,195,232,115,117,71.34,0.713,0.646,0.59
213349,1991,1427,813,614,295,59,236,29.03,0.29,0.207,0.096
213358,1991,120,76,44,34,10,24,31.58,0.316,0.283,0.227
213367,1991,594,293,301,331,152,179,61.09,0.611,0.557,0.505
213385,1991,519,243,276,426,212,214,88.07,0.881,0.821,0.768
213507,1991,180,77,103,98,50,48,62.34,0.623,0.544,0.485
213543,1991,1117,411,706,749,435,314,76.4,0.764,0.671,0.616
213613,1991,737,447,290,187,52,135,30.2,0.302,0.254,0.179
213668,1991,374,190,184,153,67,86,45.26,0.453,0.409,0.364
213783,1991,461,283,178,168,50,118,41.7,0.417,0.364,0.281
213826,1991,281,237,44,95,12,83,35.02,0.35,0.338,0.273
213996,1991,560,343,217,361,136,225,65.6,0.656,0.645,0.627
214041,1991,1089,672,417,429,127,302,44.94,0.449,0.394,0.305
214069,1991,246,187,59,86,23,63,33.69,0.337,0.35,0.39
214157,1991,288,143,145,192,92,100,69.93,0.699,0.667,0.634
214175,1991,463,258,205,336,140,196,75.97,0.76,0.726,0.683
214272,1991,84,58,26,30,5,25,43.1,0.431,0.357,0.192
214777,1991,3615,1712,1903,2808,1417,1391,81.25,0.812,0.777,0.745
215062,1991,2286,986,1300,1791,981,810,82.15,0.822,0.783,0.755
215743,1991,279,144,135,97,38,59,40.97,0.41,0.348,0.281
215798,1991,228,118,110,129,51,78,66.1,0.661,0.566,0.464
215929,1991,897,457,440,646,294,352,77.02,0.77,0.72,0.668
216010,1991,1163,631,532,474,153,321,50.87,0.509,0.408,0.288
216038,1991,1191,690,501,232,76,156,22.61,0.226,0.195,0.152
216287,1991,319,148,171,266,138,128,86.49,0.865,0.834,0.807
216339,1991,2084,1071,1013,287,115,172,16.06,0.161,0.138,0.114
216524,1991,234,124,110,155,69,86,69.35,0.694,0.662,0.627
216694,1991,317,185,132,112,33,79,42.7,0.427,0.353,0.25
216764,1991,1467,960,507,337,79,258,26.88,0.269,0.23,0.156
216807,1991,319,175,144,223,99,124,70.86,0.709,0.699,0.688
216852,1991,464,206,258,172,81,91,44.17,0.442,0.371,0.314
216931,1991,395,170,225,154,71,83,48.82,0.488,0.39,0.316
217059,1991,697,396,301,265,88,177,44.7,0.447,0.38,0.292
217156,1991,1358,658,700,1048,543,505,76.75,0.768,0.772,0.776
217402,1991,963,529,434,764,330,434,82.04,0.82,0.793,0.76
217536,1991,400,281,119,196,49,147,52.31,0.523,0.49,0.412
217776,1991,78,41,37,16,6,10,24.39,0.244,0.205,0.162
217819,1991,1434,943,491,483,104,379,40.19,0.402,0.337,0.212
217882,1991,2474,1120,1354,871,321,550,49.11,0.491,0.352,0.237
217998,1991,101,64,37,66,21,45,70.31,0.703,0.653,0.568
218061,1991,735,388,347,79,23,56,14.43,0.144,0.107,0.066
218229,1991,421,286,135,83,18,65,22.73,0.227,0.197,0.133
218238,1991,232,126,106,17,5,12,9.52,0.095,0.073,0.047
218399,1991,196,135,61,38,6,32,23.7,0.237,0.194,0.098
218414,1991,189,77,112,45,21,24,31.17,0.312,0.238,0.188
218663,1991,2591,1398,1193,643,242,401,28.68,0.287,0.248,0.203
218724,1991,584,328,256,84,26,58,17.68,0.177,0.144,0.102
218733,1991,888,486,402,85,17,68,13.99,0.14,0.096,0.042
218742,1991,485,277,208,58,13,45,16.25,0.162,0.12,0.062
218973,1991,295,117,178,217,124,93,79.49,0.795,0.736,0.697
219000,1991,323,221,102,151,41,110,49.77,0.498,0.467,0.402
219046,1991,492,285,207,23,5,18,6.32,0.063,0.047,0.024
219082,1991,209,110,99,9,2,7,6.36,0.064,0.043,0.02
219198,1991,126,95,31,38,8,30,31.58,0.316,0.302,0.258
219259,1991,511,258,253,45,15,30,11.63,0.116,0.088,0.059
219356,1991,1306,657,649,189,77,112,17.05,0.17,0.145,0.119
219471,1991,1150,661,489,223,78,145,21.94,0.219,0.194,0.16
219602,1991,771,492,279,70,14,56,11.38,0.114,0.091,0.05
219709,1991,238,146,92,68,21,47,32.19,0.322,0.286,0.228
219718,1991,107,68,39,12,6,6,8.82,0.088,0.112,0.154
219949,1991,165,88,77,26,13,13,14.77,0.148,0.158,0.169
220075,1991,1599,950,649,149,47,102,10.74,0.107,0.093,0.072
220215,1991,295,147,148,80,38,42,28.57,0.286,0.271,0.257
220613,1991,368,185,183,62,24,38,20.54,0.205,0.168,0.131
220631,1991,311,209,102,126,40,86,41.15,0.412,0.405,0.392
220710,1991,154,80,74,50,16,34,42.5,0.425,0.325,0.216
221351,1991,379,208,171,258,108,150,72.12,0.721,0.681,0.632
221519,1991,327,159,168,236,118,118,74.21,0.742,0.722,0.702
221731,1991,90,38,52,18,6,12,31.58,0.316,0.2,0.115
221847,1991,1362,637,725,185,57,128,20.09,0.201,0.136,0.079
221892,1991,193,113,80,46,23,23,20.35,0.204,0.238,0.288
222178,1991,656,338,318,176,75,101,29.88,0.299,0.268,0.236
222983,1991,307,173,134,187,77,110,63.58,0.636,0.609,0.575
223232,1991,2150,1240,910,947,347,600,48.39,0.484,0.44,0.381
224004,1991,116,72,44,26,7,19,26.39,0.264,0.224,0.159
224323,1991,280,163,117,138,50,88,53.99,0.54,0.493,0.427
225432,1991,570,299,271,10,6,4,1.34,0.013,0.018,0.022
225548,1991,266,125,141,42,14,28,22.4,0.224,0.158,0.099
225627,1991,330,246,84,35,4,31,12.6,0.126,0.106,0.048
226231,1991,207,26,181,51,44,7,26.92,0.269,0.246,0.243
226833,1991,708,332,376,14,8,6,1.81,0.018,0.02,0.021
227216,1991,2085,1169,916,210,62,148,12.66,0.127,0.101,0.068
227331,1991,361,278,83,38,6,32,11.51,0.115,0.105,0.072
227526,1991,1116,534,582,91,24,67,12.55,0.126,0.082,0.041
227757,1991,625,257,368,437,239,198,77.04,0.77,0.699,0.649
227845,1991,347,198,149,67,22,45,22.73,0.227,0.193,0.148
227863,1991,170,114,56,64,22,42,36.84,0.368,0.376,0.393
228042,1991,156,79,77,27,15,12,15.19,0.152,0.173,0.195
228149,1991,429,260,169,131,43,88,33.85,0.338,0.305,0.254
228246,1991,1229,652,577,671,289,382,58.59,0.586,0.546,0.501
228343,1991,324,173,151,191,89,102,58.96,0.59,0.59,0.589
228431,1991,2047,1234,813,353,74,279,22.61,0.226,0.172,0.091
228459,1991,2916,1634,1282,201,61,140,8.57,0.086,0.069,0.048
228501,1991,335,123,212,19,9,10,8.13,0.081,0.057,0.042
228529,1991,924,421,503,88,35,53,12.59,0.126,0.095,0.07
228705,1991,979,465,514,49,16,33,7.1,0.071,0.05,0.031
228723,1991,6034,2816,3218,1454,510,944,33.52,0.335,0.241,0.158
228769,1991,1608,759,849,116,45,71,9.35,0.094,0.072,0.053
228778,1991,5850,2743,3107,1722,723,999,36.42,0.364,0.294,0.233
228787,1991,99,50,49,21,10,11,22,0.22,0.212,0.204
228796,1991,1897,1005,892,45,16,29,2.89,0.029,0.024,0.018
228875,1991,1212,745,467,417,128,289,38.79,0.388,0.344,0.274
228981,1991,241,156,85,63,20,43,27.56,0.276,0.261,0.235
229018,1991,46,26,20,5,4,1,3.85,0.038,0.109,0.2
229027,1991,1479,799,680,69,27,42,5.26,0.053,0.047,0.04
229115,1991,2838,1439,1399,468,167,301,20.92,0.209,0.165,0.119
229780,1991,133,79,54,28,9,19,24.05,0.241,0.211,0.167
229814,1991,767,434,333,76,16,60,13.82,0.138,0.099,0.048
230603,1991,550,370,180,59,11,48,12.97,0.13,0.107,0.061
230728,1991,1359,857,502,1,1,0,0,0,0.001,0.002
230764,1991,1924,914,1010,268,107,161,17.61,0.176,0.139,0.106
230782,1991,1403,810,593,100,32,68,8.4,0.084,0.071,0.054
231059,1991,485,253,232,329,145,184,72.73,0.727,0.678,0.625
231174,1991,1821,929,892,884,385,499,53.71,0.537,0.485,0.432
231420,1991,106,67,39,7,2,5,7.46,0.075,0.066,0.051
231554,1991,126,61,65,35,15,20,32.79,0.328,0.278,0.231
231624,1991,1222,609,613,920,413,507,83.25,0.833,0.753,0.674
231712,1991,443,287,156,44,14,30,10.45,0.104,0.099,0.09
232025,1991,143,78,65,82,36,46,58.97,0.59,0.573,0.554
232043,1991,201,129,72,95,29,66,51.16,0.512,0.473,0.403
232089,1991,339,122,217,58,29,29,23.77,0.238,0.171,0.134
232186,1991,1678,927,751,348,106,242,26.11,0.261,0.207,0.141
232265,1991,1188,718,470,445,112,333,46.38,0.464,0.375,0.238
232423,1991,2121,1223,898,1105,381,724,59.2,0.592,0.521,0.424
232557,1991,849,451,398,146,53,93,20.62,0.206,0.172,0.133
232566,1991,634,465,169,223,43,180,38.71,0.387,0.352,0.254
232609,1991,327,200,127,142,47,95,47.5,0.475,0.434,0.37
232681,1991,712,496,216,458,123,335,67.54,0.675,0.643,0.569
232706,1991,211,159,52,81,21,60,37.74,0.377,0.384,0.404
232937,1991,1543,920,623,95,24,71,7.72,0.077,0.062,0.039
232982,1991,1363,685,678,161,48,113,16.5,0.165,0.118,0.071
233277,1991,1857,1122,735,365,88,277,24.69,0.247,0.197,0.12
233374,1991,805,409,396,623,294,329,80.44,0.804,0.774,0.742
233426,1991,421,267,154,188,58,130,48.69,0.487,0.447,0.377
233541,1991,180,104,76,35,10,25,24.04,0.24,0.194,0.132
233897,1991,326,155,171,52,16,36,23.23,0.232,0.16,0.094
233921,1991,4407,1878,2529,1566,697,869,46.27,0.463,0.355,0.276
234030,1991,1318,799,519,216,65,151,18.9,0.189,0.164,0.125
234085,1991,351,0,351,127,127,0,NA,NA,0.362,0.362
234155,1991,1161,692,469,107,12,95,13.73,0.137,0.092,0.026
234164,1991,382,196,186,53,9,44,22.45,0.224,0.139,0.048
235097,1991,730,421,309,114,40,74,17.58,0.176,0.156,0.129
235167,1991,445,263,182,173,59,114,43.35,0.434,0.389,0.324
236230,1991,489,291,198,215,63,152,52.23,0.522,0.44,0.318
236328,1991,696,395,301,401,162,239,60.51,0.605,0.576,0.538
236577,1991,370,253,117,95,27,68,26.88,0.269,0.257,0.231
236595,1991,390,229,161,133,51,82,35.81,0.358,0.341,0.317
236896,1991,282,132,150,55,26,29,21.97,0.22,0.195,0.173
236939,1991,1852,982,870,470,171,299,30.45,0.304,0.254,0.197
236948,1991,3484,1788,1696,1287,482,805,45.02,0.45,0.369,0.284
237011,1991,1547,921,626,288,86,202,21.93,0.219,0.186,0.137
237057,1991,319,167,152,201,82,119,71.26,0.713,0.63,0.539
237066,1991,240,141,99,94,29,65,46.1,0.461,0.392,0.293
237215,1991,305,163,142,9,2,7,4.29,0.043,0.03,0.014
237330,1991,401,229,172,87,32,55,24.02,0.24,0.217,0.186
237358,1991,141,80,61,13,4,9,11.25,0.112,0.092,0.066
237367,1991,1034,567,467,83,35,48,8.47,0.085,0.08,0.075
237792,1991,395,208,187,46,16,30,14.42,0.144,0.116,0.086
237899,1991,475,227,248,15,7,8,3.52,0.035,0.032,0.028
237932,1991,437,227,210,75,25,50,22.03,0.22,0.172,0.119
237969,1991,363,195,168,155,44,111,56.92,0.569,0.427,0.262
238032,1991,3307,1550,1757,796,325,471,30.39,0.304,0.241,0.185
238333,1991,261,147,114,135,50,85,57.82,0.578,0.517,0.439
238430,1991,125,89,36,24,7,17,19.1,0.191,0.192,0.194
238458,1991,275,168,107,132,35,97,57.74,0.577,0.48,0.327
238476,1991,401,227,174,183,65,118,51.98,0.52,0.456,0.374
238616,1991,205,104,101,64,27,37,35.58,0.356,0.312,0.267
238661,1991,126,96,30,17,1,16,16.67,0.167,0.135,0.033
239080,1991,146,105,41,52,10,42,40,0.4,0.356,0.244
239105,1991,1598,852,746,870,349,521,61.15,0.612,0.544,0.468
239628,1991,164,84,80,86,35,51,60.71,0.607,0.524,0.438
239716,1991,442,262,180,288,95,193,73.66,0.737,0.652,0.528
240107,1991,201,145,56,63,14,49,33.79,0.338,0.313,0.25
240189,1991,1765,990,775,200,60,140,14.14,0.141,0.113,0.077
240277,1991,775,506,269,75,21,54,10.67,0.107,0.097,0.078
240329,1991,1648,959,689,159,57,102,10.64,0.106,0.096,0.083
240338,1991,71,45,26,20,8,12,26.67,0.267,0.282,0.308
240365,1991,1411,787,624,136,31,105,13.34,0.133,0.096,0.05
240374,1991,627,333,294,29,11,18,5.41,0.054,0.046,0.037
240417,1991,1158,606,552,77,19,58,9.57,0.096,0.066,0.034
240426,1991,443,220,223,24,10,14,6.36,0.064,0.054,0.045
240444,1991,4582,2387,2195,1516,589,927,38.84,0.388,0.331,0.268
240453,1991,1392,730,662,145,53,92,12.6,0.126,0.104,0.08
240462,1991,986,339,647,110,56,54,15.93,0.159,0.112,0.087
240471,1991,1022,557,465,122,48,74,13.29,0.133,0.119,0.103
240480,1991,1494,763,731,183,62,121,15.86,0.159,0.122,0.085
240727,1991,1257,534,723,174,73,101,18.91,0.189,0.138,0.101
243443,1991,518,370,148,1,0,1,0.27,0.003,0.002,0
243780,1991,5754,2516,3238,1682,790,892,35.45,0.355,0.292,0.244
100654,1992,876,444,432,157,46,111,25,0.25,0.179,0.106
100663,1992,898,479,419,54,19,35,7.31,0.073,0.06,0.045
100751,1992,2436,1310,1126,684,240,444,33.89,0.339,0.281,0.213
100858,1992,3141,1621,1520,927,295,632,38.99,0.39,0.295,0.194
101435,1992,166,91,75,53,14,39,42.86,0.429,0.319,0.187
101480,1992,1106,615,491,116,34,82,13.33,0.133,0.105,0.069
101675,1992,226,108,118,107,52,55,50.93,0.509,0.473,0.441
101879,1992,554,321,233,74,24,50,15.58,0.156,0.134,0.103
102049,1992,662,405,257,295,108,187,46.17,0.462,0.446,0.42
102094,1992,1170,668,502,123,38,85,12.72,0.127,0.105,0.076
102234,1992,295,167,128,144,58,86,51.5,0.515,0.488,0.453
